epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.6555,0.6215,0.6202,0.5993,0.7040,0.6932,1.00e-04
2,0.6022,0.6984,0.6983,0.5745,0.7280,0.7180,1.00e-04
3,0.5833,0.7135,0.7128,0.5295,0.7680,0.7672,1.00e-04
4,0.5744,0.7183,0.7178,0.5375,0.7540,0.7538,1.00e-04
5,0.5456,0.7409,0.7409,0.5138,0.7840,0.7838,1.00e-04
6,0.5364,0.7535,0.7535,0.5354,0.7680,0.7628,1.00e-04
7,0.5199,0.7726,0.7725,0.4954,0.7940,0.7938,1.00e-04
8,0.5044,0.7964,0.7964,0.4798,0.8220,0.8217,1.00e-04
9,0.4810,0.8108,0.8106,0.4538,0.8360,0.8359,1.00e-04
10,0.4617,0.8316,0.8316,0.4414,0.8380,0.8379,1.00e-04
11,0.4441,0.8490,0.8488,0.4155,0.8480,0.8479,1.00e-04
12,0.4258,0.8607,0.8603,0.4105,0.8640,0.8640,1.00e-04
13,0.4114,0.8672,0.8671,0.4520,0.8460,0.8458,1.00e-04
14,0.4006,0.8819,0.8819,0.4116,0.8740,0.8739,1.00e-04
15,0.3879,0.8819,0.8819,0.4198,0.8700,0.8698,1.00e-04
16,0.3800,0.8863,0.8863,0.4000,0.8880,0.8878,1.00e-04
17,0.3808,0.8885,0.8884,0.3919,0.9040,0.9040,1.00e-04
18,0.3528,0.9015,0.9015,0.3892,0.8920,0.8920,1.00e-04
19,0.3635,0.9002,0.8999,0.3704,0.9120,0.9119,1.00e-04
20,0.3549,0.9076,0.9075,0.3734,0.9040,0.9040,1.00e-04
21,0.3359,0.9245,0.9244,0.3676,0.9000,0.9000,1.00e-04
22,0.3359,0.9206,0.9205,0.3643,0.9120,0.9120,1.00e-04
23,0.3299,0.9245,0.9244,0.3745,0.9100,0.9098,1.00e-04
24,0.3281,0.9223,0.9223,0.3959,0.8820,0.8819,1.00e-04
25,0.3202,0.9314,0.9313,0.3721,0.9060,0.9060,1.00e-04
26,0.3103,0.9384,0.9383,0.3894,0.8960,0.8959,1.00e-04
27,0.3100,0.9405,0.9405,0.3791,0.8940,0.8940,1.00e-04
28,0.3006,0.9401,0.9401,0.3749,0.9120,0.9120,5.00e-05
29,0.2775,0.9583,0.9583,0.3652,0.9120,0.9120,5.00e-05
30,0.2749,0.9596,0.9596,0.3569,0.9160,0.9160,5.00e-05
