epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.6430,0.6176,0.6170,0.5520,0.7620,0.7562,1.00e-04
2,0.5881,0.7092,0.7079,0.5145,0.7920,0.7895,1.00e-04
3,0.5536,0.7326,0.7326,0.4602,0.8100,0.8096,1.00e-04
4,0.5236,0.7674,0.7671,0.4575,0.8380,0.8369,1.00e-04
5,0.4970,0.7930,0.7929,0.4784,0.8260,0.8244,1.00e-04
6,0.4408,0.8490,0.8488,0.4666,0.8360,0.8357,1.00e-04
7,0.4342,0.8446,0.8445,0.4036,0.8760,0.8759,1.00e-04
8,0.4137,0.8633,0.8633,0.3985,0.8760,0.8760,1.00e-04
9,0.3864,0.8828,0.8827,0.3983,0.8800,0.8798,1.00e-04
10,0.3764,0.8967,0.8967,0.3888,0.8780,0.8779,1.00e-04
11,0.3515,0.9076,0.9075,0.4127,0.8760,0.8760,1.00e-04
12,0.3415,0.9149,0.9147,0.3929,0.8920,0.8920,1.00e-04
13,0.3533,0.9123,0.9122,0.3813,0.8960,0.8960,1.00e-04
14,0.3335,0.9245,0.9245,0.3792,0.9020,0.9018,1.00e-04
15,0.3121,0.9358,0.9357,0.3690,0.9100,0.9099,1.00e-04
16,0.3128,0.9332,0.9331,0.3894,0.9000,0.8999,1.00e-04
17,0.3044,0.9427,0.9427,0.3988,0.8820,0.8820,1.00e-04
18,0.2959,0.9510,0.9510,0.3997,0.8880,0.8880,1.00e-04
19,0.2863,0.9514,0.9513,0.4211,0.8980,0.8980,1.00e-04
20,0.2852,0.9518,0.9517,0.3980,0.9040,0.9039,1.00e-04
21,0.2886,0.9505,0.9505,0.3704,0.9040,0.9040,5.00e-05
22,0.2640,0.9648,0.9648,0.3810,0.9040,0.9040,5.00e-05
23,0.2599,0.9653,0.9653,0.3686,0.9060,0.9060,5.00e-05
24,0.2524,0.9718,0.9718,0.3828,0.9080,0.9080,5.00e-05
25,0.2519,0.9757,0.9757,0.3635,0.9160,0.9160,5.00e-05
26,0.2456,0.9761,0.9760,0.3838,0.9080,0.9080,5.00e-05
27,0.2431,0.9774,0.9774,0.3868,0.9040,0.9040,5.00e-05
28,0.2469,0.9753,0.9752,0.3705,0.9180,0.9180,5.00e-05
29,0.2307,0.9861,0.9861,0.4007,0.9020,0.9020,5.00e-05
30,0.2414,0.9787,0.9787,0.3682,0.9140,0.9140,5.00e-05
